№;;Станция;;;;;;;;;;Регион;;;;;;;;;;j;;y;;;№;;Станция;;;;;;;;;;Регион;;;;;;;;;;j;;y;
1;;Гасан-Кули;;;;;;;;;;Туркмения;;;;;;;;;;37,1;;54;;;1;;Гасан-Кули;;;;;;;;;;Туркмения;;;;;;;;;;37,1;;54;
Мес.;Часовой интервал (истинное солнечное время);;;;;;;;;;;;;;;;;;;;;;;;S;;Мес.;Часовой интервал (истинное солнечное время);;;;;;;;;;;;;;;;;;;;;;;;S
;0-1;1-2;2-3;3-4;4-5;5-6;6-7;7-8;8-9;9-10;10-11;11-12;12-13;13-14;14-15;15-16;16-17;17-18;18-19;19-20;20-21;21-22;22-23;23-24;;;;0-1;1-2;2-3;3-4;4-5;5-6;6-7;7-8;8-9;9-10;10-11;11-12;12-13;13-14;14-15;15-16;16-17;17-18;18-19;19-20;20-21;21-22;22-23;23-24;
I;0;0;0;0;0;0;0;0,025;0,15;0,263888889;0,347222222;0,397222222;0,397222222;0,347222222;0,263888889;0,15;0,025;0;0;0;0;0;0;0;2,366666667;;I;0;0;0;0;0;0;0;0;0,072222222;0,144444444;0,205555556;0,241666667;0,241666667;0,205555556;0,144444444;0,072222222;0;0;0;0;0;0;0;0;1,327777778
II;0;0;0;0;0;0;0,008333333;0,097222222;0,227777778;0,347222222;0,455555556;0,511111111;0,511111111;0,455555556;0,347222222;0,227777778;0,097222222;0,008333333;0;0;0;0;0;0;3,294444444;;II;0;0;0;0;0;0;0;0,041666667;0,122222222;0,197222222;0,277777778;0,311111111;0,311111111;0,277777778;0,197222222;0,122222222;0,041666667;0;0;0;0;0;0;0;1,9
III;0;0;0;0;0;0;0,044444444;0,166666667;0,305555556;0,425;0,519444444;0,566666667;0,566666667;0,519444444;0,425;0,305555556;0,166666667;0,044444444;0;0;0;0;0;0;4,055555556;;III;0;0;0;0;0;0;0,016666667;0,075;0,155555556;0,233333333;0,291666667;0,325;0,325;0,291666667;0,233333333;0,155555556;0,075;0,016666667;0;0;0;0;0;0;2,194444444
IV;0;0;0;0;0;0,016666667;0,086111111;0,2;0,341666667;0,497222222;0,630555556;0,675;0,675;0,630555556;0,547222222;0,425;0,291666667;0,15;0,019444444;0;0;0;0;0;5,186111111;;IV;0;0;0;0;0;0,008333333;0,022222222;0,080555556;0,158333333;0,269444444;0,361111111;0,391666667;0,391666667;0,361111111;0,319444444;0,211111111;0,136111111;0,058333333;0,002777778;0;0;0;0;0;2,772222222
V;0;0;0;0;0;0,05;0,169444444;0,327777778;0,475;0,625;0,766666667;0,822222222;0,822222222;0,766666667;0,666666667;0,533333333;0,375;0,205555556;0,063888889;0;0;0;0;0;6,669444444;;V;0;0;0;0;0;0,008333333;0,069444444;0,177777778;0,283333333;0,383333333;0,502777778;0,552777778;0,552777778;0,502777778;0,425;0,341666667;0,225;0,105555556;0,022222222;0;0;0;0;0;4,152777778
VI;0;0;0;0;0,008333333;0,063888889;0,205555556;0,369444444;0,525;0,680555556;0,830555556;0,888888889;0,888888889;0,830555556;0,730555556;0,597222222;0,438888889;0,227777778;0,077777778;0,008333333;0;0;0;0;7,372222222;;VI;0;0;0;0;0,002777778;0,013888889;0,091666667;0,205555556;0,325;0,438888889;0,580555556;0,633333333;0,633333333;0,580555556;0,488888889;0,397222222;0,275;0,113888889;0,027777778;0,002777778;0;0;0;0;4,811111111
VII;0;0;0;0;0,002777778;0,063888889;0,177777778;0,327777778;0,483333333;0,638888889;0,780555556;0,844444444;0,844444444;0,802777778;0,702777778;0,566666667;0,391666667;0,230555556;0,077777778;0,002777778;0;0;0;0;6,938888889;;VII;0;0;0;0;0;0,008333333;0,063888889;0,15;0,283333333;0,383333333;0,511111111;0,566666667;0,566666667;0,533333333;0,447222222;0,366666667;0,213888889;0,116666667;0,022222222;0;0;0;0;0;4,233333333
VIII;0;0;0;0;0;0,036111111;0,136111111;0,305555556;0,438888889;0,597222222;0,725;0,802777778;0,802777778;0,758333333;0,647222222;0,511111111;0,361111111;0,169444444;0,041666667;0;0;0;0;0;6,333333333;;VIII;0;0;0;0;0;0,013888889;0,05;0,155555556;0,261111111;0,35;0,469444444;0,538888889;0,538888889;0,502777778;0,4;0,333333333;0,211111111;0,083333333;0,019444444;0;0;0;0;0;3,927777778
IX;0;0;0;0;0;0,002777778;0,072222222;0,219444444;0,375;0,533333333;0,666666667;0,725;0,725;0,666666667;0,566666667;0,433333333;0,269444444;0,1;0,002777778;0;0;0;0;0;5,358333333;;IX;0;0;0;0;0;0;0,016666667;0,091666667;0,219444444;0,327777778;0,447222222;0,497222222;0,497222222;0,447222222;0,361111111;0,277777778;0,141666667;0,044444444;0;0;0;0;0;0;3,369444444
X;0;0;0;0;0;0;0,013888889;0,138888889;0,305555556;0,419444444;0,552777778;0,602777778;0,602777778;0,552777778;0,419444444;0,305555556;0,138888889;0,013888889;0;0;0;0;0;0;4,066666667;;X;0;0;0;0;0;0;0,005555556;0,061111111;0,177777778;0,255555556;0,369444444;0,411111111;0,411111111;0,369444444;0,255555556;0,177777778;0,061111111;0,005555556;0;0;0;0;0;0;2,561111111
