название;широта;долгота;минимальная скорость м/с;максимальная скорость м/с
Москва (Центр);55.64232;37.5203900000001;0;17
Москва (ВВЦ);55.8262600313045;37.637959916905;0;20
Москва (Немчиновка);55.823509691174;37.5677808117905;0;25
Москва (Тушино);55.83277;37.42229;0;22
Москва (Шереметьево);55.4255800000001;37.14854;0;25
Волоколамск;56.03432;35.9589800000001;0;26
Дмитров;56.1667100000001;37.52349;0;23
Истра;55.9207700000001;36.85641;0;20
Кашира;54.8229200000001;38.15158;0;22
Клин;56.33655;36.7193300000001;0;25
Коломна;55.0939500000001;38.7690700000001;0;23
Можайск;55.50683;36.01615;0;24
Наро-Фоминск;55.3880800000001;36.7401100000001;0;23
Павловский Посад;55.77547;38.6527400000001;0;24
Серпухов;54.9212000000001;37.4068;0;22
Черусти (Шатурский р-н);55.5444800000001;40.0068400000001;0;23
Шишкин Лес(Подольский район);47.7334700000001;29.6714000000001;0;24
Архангельск;64.5384300000001;40.5149000000001;0;22
Вельск;61.06568;42.0926000000001;0;18
Верхняя Тойма;62.23398;45.00206;0;20
Двинской Березник;62.8487400000001;42.73366;0;22
Емецк (Холмогорский р-н);63.47236;41.77784;0;22
Ильинско-Подомское;61.1129900000001;47.9808100000001;0;23
Каргополь;61.50942;38.9357200000001;0;22
Карпогоры;63.99832;44.4448400000001;0;30
Койнас (Лешуконский р-н);64.7560300000001;47.63561;0;17
Конёво (Плесецкий район);62.1220200000001;39.3209900000001;0;25
Коноша;60.97283;40.2547000000001;0;19
Котлас;61.26417;46.6714700000001;0;24
Красноборск;61.5575000000001;45.94345;0;19
Лешуконское;64.8988200000001;45.75775;0;24
Мезень;65.8360400000001;44.24899;0;25
Няндома;61.6757600000001;40.19825;0;20
Онега;63.9053500000001;38.09493;0;24
Пинега;64.70248;43.39435;0;20
Посад (Онежский район);63.10655;39.2454500000001;0;22
Северодвинск;64.5619100000001;39.8265400000001;0;24
Соловецкий (Приморский район);64.6288155;40.48083675;0;23
Сура (Пинежский район);63.5757400000001;45.63919;0;22
Холмогоры;64.22977;41.64484;0;23
Шангалы (Устьянский р-н);61.12861;43.33414;0;31
Шенкурск;62.1056100000001;42.91114;0;23
Яренск;62.1830600000001;49.0819200000001;0;21
Уфа;54.7496600000001;55.98571;0;23
Акъяр (Хайбуллинский р-н);51.8673700000001;58.22923;0;20
Аксаково(Белебеевский р-н);54.0294200000001;54.15907;0;21
Аскино;56.0852;56.5778700000001;0;24
Бирск;55.41335;55.53993;0;25
Зилаир;52.2362400000001;57.44658;0;21
Стерлитамак;53.63712;55.93656;0;20
Янаул;56.2645000000001;54.92792;0;24
Горно-Алтайск;51.95874;85.95932;0;20
Артыбаш (Турочакский р-н);51.78839;87.2467600000001;0;21
Катанда(Усть-Коксинский район);50.1468600000001;86.17909;0;23
Кош-Агач;49.9955200000001;88.6657500000001;0;28
Майма;52.0044600000001;85.9034500000001;0;25
Онгудай;50.7517700000001;86.14619;0;21
Турочак;52.25519;87.1193700000001;0;28
Усть-Кан;50.9294300000001;84.7621300000001;0;24
Усть-Кокса;50.2705;85.6121000000001;0;21
Чемал;51.4161;85.9971200000001;0;24
Шебалино;51.2941700000001;85.68681;0;26
Белгород;50.59614;36.58849;0;20
Валуйки;50.20475;38.12557;0;19
Губкин;51.2861;37.5302500000001;0;22
Новый Оскол;50.74564;37.8951700000001;0;20
Пролетарский;50.79353;35.7760900000001;0;21
Старый Оскол;51.3044600000001;37.81262;0;23
Вологда;59.22238;39.8840200000001;0;23
Бабаево;59.3897900000001;35.9378100000001;0;19
Белозерск;60.0310600000001;37.7893100000001;0;25
Великий Устюг;60.77486;46.2750600000001;0;23
Вожега;60.4711500000001;40.2022600000001;0;24
Вытегра;61.0077900000001;36.44437;0;25
Никольск;53.7067400000001;46.0811;0;21
Тотьма;59.9593800000001;42.75091;0;24
Ферапонтово (Кирилловский район);59.9536100000001;38.5908000000001;0;19
Череповец;59.1543500000001;37.8563600000001;0;23
Киров;58.5937000000001;49.6568;0;21
Вятские Поляны;56.2227700000001;51.0759;0;24
Кирс;59.3365600000001;52.22619;0;24
Котельнич;58.3029100000001;48.3439700000001;0;22
Кумёны;58.1112800000001;49.9479600000001;0;19
Лальск (Лузский район);60.7398700000001;47.5864;0;27
Нолинск;57.5561300000001;49.9416200000001;0;25
Опарино;59.84882;48.2688200000001;0;22
Барнаул;53.30868;83.7750800000001;0;25
Алейск;52.48528;82.7583500000001;0;29
Баево;53.26914;80.7806200000001;0;26
Белокуриха;52.0025800000001;84.9920200000001;0;22
Бийск;52.55204;85.20081;0;30
Благовещенка;52.8205400000001;79.8829600000001;0;27
Волчиха;52.01707;80.3659200000001;0;34
Горняк;50.9991000000001;81.48697;0;28
Заринск;53.6928100000001;84.9163600000001;0;28
Змеиногорск;51.1621000000001;82.18629;0;26
Зональное;52.6703000000001;84.9296600000001;0;27
Камень-на-Оби;53.7897100000001;81.33946;0;28
Ключи;52.2509400000001;79.1695800000001;0;24
Краснощёково;51.66148;82.74066;0;28
Кулунда;52.5638200000001;78.94696;0;23
Мамонтово;52.7031600000001;81.6264300000001;0;23
Поспелиха;51.99147;81.8249300000001;0;32
Ребриха;53.0742500000001;82.33919;0;28
Родино;52.49634;80.2108200000001;0;28
Рубцовск;51.52775;81.2168500000001;0;40
Славгород;52.9948400000001;78.6286000000001;0;26
Солонешное;51.66004;84.3186800000001;0;29
Тальменка;53.8181900000001;83.5641600000001;0;21
Тогул;53.46835;85.9147500000001;0;24
Троицкое;49.4406300000001;136.55566;0;23
Угловское;51.37343;80.1957400000001;0;28
Усть-Калманка;52.1172900000001;83.3012000000001;0;30
Усть-Чарышская Пристань;52.39268;83.66655;0;31
Хабары;53.6220200000001;79.53693;0;27
Целинное;53.0817400000001;85.66625;0;32
Чарышское;51.40261;83.55294;0;24
Шелаболиха;53.41263;82.6186200000001;0;30
Шипуново;52.2202100000001;82.26223;0;28
Брянск;53.2341200000001;34.357;0;19
Жуковка;53.5171300000001;33.7345800000001;0;25
Карачев;53.1186500000001;34.99026;0;21
Красная Гора;52.9950200000001;31.60826;0;23
Навля;52.8239800000001;34.5054700000001;0;19
Трубчевск;52.58092;33.7693600000001;0;22
Унеча;52.8424000000001;32.6733600000001;0;20
Калининград;54.7090400000001;20.5081500000001;0;25
Балтийск;54.63471;19.88086;0;29
Железнодорожный (Правдинский район);54.3611500000001;21.3052700000001;0;28
Пионерский;54.9532;20.22459;0;29
Советск;55.0781700000001;21.88564;0;25
Черняховск;54.63795;21.81107;0;27
Йошкар-Ола;56.63185;47.89793;0;27
Козьмодемьянск;56.3378000000001;46.5763900000001;0;21
Новый Торъял;57.0060800000001;48.7358400000001;0;28
Улан-Удэ;51.8415400000001;107.60912;0;28
Бабушкин (Кабанский р-н);51.71705;105.86135;0;19
Багдарин;54.4468400000001;113.5855;0;20
Баргузин;53.61314;109.63928;0;29
Баунт;55.2587300000001;113.12736;0;22
Бичура;50.58709;107.5941;0;26
Горячинск (Прибайкальский район);52.98524;108.29641;0;23
Давша(Северо-Байкальский р-н);54.3558;109.50593;0;24
