MSID;Название;Широта;Долгота;V10 по месяцам, январь;февраль;март;апрель;май;июнь;июль;август;сентябрь;октябрь;ноябрь;декабрь;V100 по месяцам, январь;февраль;март;апрель;май;июнь;июль;август;сентябрь;октябрь;ноябрь;декабрь;V200 по месяцам, январь;февраль;март;апрель;май;июнь;июль;август;сентябрь;октябрь;ноябрь;декабрь;m по месяцам,январь;февраль;март;апрель;май;июнь;июль;август;сентябрь;октябрь;ноябрь;декабрь;Среднее m;a;b;R
32165;Южно-Курильск;44;145,8;6,6;6,2;6,1;4,8;4,3;3,9;3,5;3,3;4,9;5,5;6,9;7,1;8,2;7,8;7,7;7,4;7;6,2;6,1;5,7;7,2;7,5;8,9;8,7;8,1;8,5;8;7,7;7,2;6,4;6,1;5,7;7,9;7,6;9;9,2;0,094269916841848;0,0997029131922265;0,101160890161715;0,187990482355389;0,21162958443467;0,201327082471755;0,241261790660491;0,237360915794604;0,167136416402755;0,134698573897456;0,110540915907657;0,0882609038995432;0,156278365501676;1,3926;-1,3839;0,9606768
32150;Южно-Сахалинск;46,9;142,7;8,3;3,5;3,3;3;3;2,7;2,4;2,3;2,2;2,3;2,9;3,1;10;6,5;5,9;6,4;6,4;5,3;5,3;4,9;4,9;5,5;5,5;6,2;9,4;6,7;6,3;6,4;6,3;5,1;5,2;4,9;5,5;5,9;6,1;6,7;0,0809219076239261;0,26884531229258;0,252338071764257;0,329058719264225;0,329058719264225;0,292912105441802;0,344064627889183;0,328468244010921;0,347773399206307;0,378634853476651;0,277964691595288;0,301029995663981;0,294255887291112;0,9494;-1,1086;0,9616132
32098;Поронайск;49,2;143,1;7,3;6,7;6;6,1;5,4;4,9;4,4;4,3;5,7;6,7;8,2;8,9;9;8,9;9,2;10;9,5;8,5;8;7,1;8,9;9,4;10,2;9,4;9;9,5;9,3;9,7;9,1;8,2;7,2;6,7;8,7;9;10,3;9,6;0,090919649318869;0,123315203944086;0,185636576961912;0,214670164989233;0,245329845465879;0,239222845685779;0,259637310505756;0,217789893139489;0,193515150972421;0,147053050898872;0,0947863193782009;0,0237378469547858;0,169634488184607;13,072;-2,492;0,8436824
32061;Александровск-на-Сахалине;50,9;142,2;5,5;4,7;4,6;4,5;3,8;3;2,6;3;5,1;5,8;6,8;6;7;6,8;7;7,9;7,4;6,3;6,1;6,5;8,3;8,5;8,6;7,6;7;6,8;6,8;7,7;7,1;5,8;5,6;5,9;7,9;8;8,2;7,5;0,104735350520013;0,160411054770519;0,182340208332683;0,244414577515098;0,289448123114166;0,322219294733919;0,370356487039949;0,335792101923193;0,211507916278138;0,165990932151355;0,101989538537331;0,102662341897148;0,215988993901126;1,6102;-1,4149;0,91635
31770;Советская гавань;49;140,3;3,2;3,1;3,2;3,1;1,9;1,5;1;1,5;3,4;4;4,5;4,7;6,1;6;6;6,3;5,1;4,2;4,1;4,9;6,4;7;6,9;6,7;6,8;6,6;6,3;6,6;5,4;4,4;4,2;4,7;6,5;7,3;7,1;6,9;0,280179856690861;0,286789556549371;0,273001272063738;0,307978855619309;0,428816575145107;0,447158031342219;0,612783856719735;0,514104820972832;0,274701056941632;0,243038048686294;0,185636576961912;0,153976944765109;0,334013787704843;0,6739;-0,7972;0,96566
31369;Николаевск-на-Амуре;53,2;140,7;3,6;3;2,9;3,4;3,4;2,6;2,5;1,7;2,9;3,3;4;4;8,4;7,7;6,6;6,3;6,1;5,4;5,1;4,8;6,4;7;8;8,2;8,3;7,3;6,4;6,4;6,1;5,2;4,8;4,7;6,4;7;8;8;0,367976785294594;0,409369470452819;0,357145937642913;0,267861632411327;0,253850917968512;0,317420411852151;0,309630167425899;0,450792315997313;0,343781976084931;0,326584100136369;0,301029995663981;0,311753861055754;0,334766464332214;0,5163;-0,4012;0,5816356
31168;Аян;56,5;138,1;2,7;2,7;2,2;3;3,3;3,1;2,7;2,1;2,4;2,7;3,2;3,2;6;6,1;5,3;5,9;5,8;5,2;5,2;4,7;6,4;5,5;6,7;7,6;8,7;9,4;7,9;7,7;8;7,1;6,5;5,6;8,7;8,1;8,8;9,8;0,346787486224656;0,35396607085178;0,381853188778583;0,293730756922482;0,24491405368505;0,224641649800527;0,284639579475812;0,349878563201798;0,425968732272281;0,308998925335256;0,32092482438092;0,375663613960885;0,325997287074169;0,6688;-0,7261;0,5795688
31735;Хабаровск;48,5;135,2;3,9;3,7;3,7;4,2;4,1;3,4;3,3;3,1;3,8;4,2;4,9;4,1;7,5;7,4;7,5;8,4;8,2;7,4;6,6;6,4;7,6;7,9;8,7;7,9;8,3;7,6;7,7;8,9;8,9;7,9;6,8;6,8;8,3;8,7;9,7;8,7;0,283996656365201;0,301029995663981;0,306859539324705;0,301029995663981;0,301029995663981;0,337752802688721;0,301029995663981;0,314818280149614;0,301029995663981;0,274377800892541;0,249323172590105;0,284843234570706;0,296426788741791;0,5691;-0,4867;0,8058535847
31538;Сутур;50,1;132,1;0,3;0,5;0,8;1,3;1;0,7;0,6;0,5;0,8;0,9;0,6;0,3;2,8;3,3;3,9;5,1;5,1;4,5;4,5;4,3;4,7;4,6;3,9;3,2;3,2;3,6;4,2;5,6;5,8;4,8;4,6;4,5;5,1;5;4,2;3,5;0,970036776622557;0,819543935541869;0,687974620034556;0,5936268237911;0,707570176097936;0,808114473761087;0,8750612633917;0,934498451243568;0,769007870943774;0,708515322242249;0,812913356642856;1,02802872360024;0,809574316159458;0,6874;-0,334;0,943822017119753
31909;Терней;45;136,7;9,6;7,4;5,2;3,8;3;2,6;2,2;2,4;3,8;4,9;6;7,2;12,2;10,8;7,9;6,6;5,2;4,8;4,3;4,6;6,8;7,9;8,7;11,2;12,6;11,2;8,1;6,1;5,2;4,9;4,4;4,8;6,9;7,9;9,4;11,6;0,10408859763518;0,164192035755973;0,181623747655642;0,239760338925059;0,238882088915137;0,266267889404769;0,29104577475738;0,282546589969968;0,252725316089426;0,207431011261928;0,161368002234975;0,191885526238913;0,215151409903696;0,4771;-0,566;0,922225568936364
31873;Иман (Дальнереченск);45,9;133,7;2,7;3;3,1;3,6;3,3;3,3;2,5;2,2;2,7;2,9;3,1;2,8;6,6;6,9;7,1;7,8;8,1;7,8;7;6,6;7,3;7,3;7,4;7;6,8;7;7,6;8,6;8,5;8,1;7,3;6,5;7,7;7,7;7,8;7,4;0,388180171382881;0,361727836017593;0,359896654884803;0,335792101923193;0,389971079000762;0,373580662812593;0,447158031342219;0,477121254719662;0,431959095961469;0,4009248622215;0,377870025896704;0,397940008672038;0,395176815402951;0,7963;-0,66;0,900444334759234
31960;Владивосток;43,1;131,9;2,3;2,1;1,6;2,3;1,8;1,4;1,5;1,3;1,7;2,1;2,1;2;7,8;7,6;6,8;7;6,8;5,2;5,7;5;6,3;6,7;7,2;7,1;8,7;8,7;7,3;7,2;6,8;5,7;6;5,3;6,9;7,5;7,8;7,8;0,530366766672888;0,558594297546872;0,628388930050311;0,483370203996664;0,57723640760293;0,569875307956561;0,57978359661681;0,585026652029182;0,568891628075308;0,503855507966907;0,535113201697349;0,550228353055094;0,55589423777224;0,6514;-0,269;0,744513263817375
32583;Петропавловск-Камчатский;53;158,5;5,1;5,4;5;3,6;2,6;1,7;1,8;1,9;2,7;3,5;4,3;5,2;8,2;8,3;8,2;6,6;5,2;4,6;4,6;4,9;6,1;6,5;7,3;8,3;8,3;8,5;8,6;7;5,5;4,6;4,9;5,2;6,5;7;7,9;8,7;0,20624367628578;0,186684332553105;0,214843848047698;0,263241434774581;0,301029995663981;0,4323089103033;0,407485326578268;0,411442479075685;0,35396607085178;0,26884531229258;0,229854404540869;0,203074748741275;0,289918378309075;0,6282;0,686;0,988230742286436
32389;Ключи;56,3;160,8;3,8;4;4,4;3,9;3,4;2,8;2,6;2,6;2,9;4,1;4,5;3,9;6,4;6,6;6,7;6,3;5,4;5,2;5,2;5,3;6;6,3;6,8;6,6;6,3;6,2;6,6;6,4;5,8;5;5,2;5,4;5,9;6,8;7,1;6,4;0,226396377367077;0,217483944213906;0,182622126214639;0,208275942427082;0,200914842780713;0,26884531229258;0,301029995663981;0,309302521629971;0,315753252484688;0,186556692733846;0,179296398930893;0,228479328515369;0,235413061271229;0,758;-0,947;0,922767576370128
32618;о.Беринга (Никольское);55,2;166;9,6;9,1;8,6;7,9;7,1;5,6;6;5,4;6,3;7,3;8,7;9,6;10,2;9,6;9;8,9;8,3;7,2;7,8;7,5;8,2;8,7;9,9;10,1;9,9;9,5;8,9;8,9;8,2;7,1;7,7;7,6;8,3;8,8;9,8;10;0,0263289387223491;0,0232298407184748;0,0197440581957572;0,0517629153544714;0,0678197436569987;0,109144469425068;0,113943352306837;0,142667503568732;0,114473302930135;0,0761963924981626;0,0561159419789314;0,0220501407430741;0,0686230500082493;34,756;-3,208;0,924716172671377
