ID;Производитель;Модель;Мощность, кВт;Диаметр,м;Регулир.;Мультипликатор;Оффшорисполн.;Макс.скорость, м/с;Производство;Высота башни, м;Мин.скорость, м/с;Ном.скорость, м/с;Макс.скорость, м/с;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;Число лопастей;Угол лопасти;Высота втулки, м;Вращ. ВК, об/мин;перед. Число;Тип ген-ра;Напряж.ген., кВ;Вращ.рот, об/мин;Лопасть;Ротор;Гондола;Башня;Общий;Страна;Шум, дБ(А);Систмы регулирования;Тормозная система;;;Сайт;;;;;;;;Видео
1;AAER;A1000;1000;58;Pitch;ND;No;ND;No more avail.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;AAER;A1000S;1000;54;Stall;ND;No;ND;No more avail.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;AAER;A1500-70;1500;70;ND;ND;No;ND;No more avail.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;AAER;A1500-77;1500;77;ND;ND;No;ND;No more avail.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;AAER;A1650 -70;1650;70;Pitch;ND;No;ND;No more avail.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;AAER;A1650 -77;1650;77;Pitch;ND;No;ND;No more avail.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;AAER;A1650 -80;1650;80;Pitch;ND;No;ND;No more avail.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;AAER;A2000-71;2000;71;ND;ND;No;ND;No more avail.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;AAER;A2000-80;2000;80;ND;ND;No;ND;No more avail.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;AAER;A2000-84;2000;84;ND;ND;No;ND;No more avail.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;Acciona;AW-70/1500;1500;70;Pitch;Yes;No;25;Available;56.9/76.9;4;11,6;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20,2;;6п,ДП,(Н/Н);12;1200;;;;;;Испания;;;;;;http://www.acciona-energia.com/activity_areas/-wind-turbines/models.aspx;;;;;;;;
12;Acciona;AW-77/1500;1500;77;Pitch;Yes;No;25;Available;56.9/76.9;3,5;11,1;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18,3;;6п,ДП,(Н/Н);12;1200;;;;;;Испания;;;;;;http://www.acciona-energia.com/activity_areas/-wind-turbines/models.aspx;;;;;;;;
13;Acciona;AW-82/1500;1500;82;Pitch;Yes;No;20;Available;56.9/76.9;3;10,5;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16,7;;6п,ДП,(Н/Н);12;1100;;;;;;Испания;;;;;;http://www.acciona-energia.com/activity_areas/-wind-turbines/models.aspx;;;;;;;;
14;Acciona;AW3000-100;3000;100;Pitch;Yes;No;25;Available;98.2/118.2;4;11,7;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14,2;;6п,ДП,(Н/Н);12;1100;;;;;;Испания;;;;;;http://www.acciona-energia.com/activity_areas/-wind-turbines/models.aspx;;;;;;;;
15;Acciona;AW3000-109;3000;109;Pitch;Yes;No;25;Available;98.2/118.2;3,5;11,1;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13,2;;6п,ДП,(Н/Н);12;1100;;;;;;Испания;;;;;;http://www.acciona-energia.com/activity_areas/-wind-turbines/models.aspx;;;;;;;;
16;Acciona;AW3000-116;3000;116;Pitch;Yes;No;20;Available;98.2/118.2;3;10,6;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12,3;;6п,ДП,(Н/Н);12;1100;;;;;;Испания;;;;;;http://www.acciona-energia.com/activity_areas/-wind-turbines/models.aspx;;;;;;;;
17;ACSA;A27/225;225;27;Pitch;Yes;No;25;Available;31.5/50;3,5;13,5;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45rd/min;;;;;;;;;;;;;;;;;;;;
18;ACSA;A29/225;225;29;Pitch;ND;No;ND;No more avail.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;Adler;25;165;25;Pitch;Yes;No;ND;No more avail.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;Aeronautica Windpower;29-225;225;29;Stall;Yes;No;25;Available;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;Aeronautica Windpower;47-750/180;750;47;Stall;Yes;No;20;Available;50/65;4;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25,3;;АГ,инд.4/6п;0,69;1000/1500;;;;;;США;;;;;;http://aeronauticawind.com/aw/products.html#750;;;;;;;;
22;Aeronautica Windpower;54-750/180;750;54;Stall;Yes;No;20;Available;50/65;4;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25,3;;АГ,инд.4/6п;0,69;1000/1500;;;;;;США;;;;;;http://aeronauticawind.com/aw/products.html#750;;;;;;;;
23;Alizeo;Alizeo 1000/56;1000;56;Pitch;No;No;15;Available;50;3,5;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18Гц;;;0,69;50Гц;;;;;;Франция;;;;;;http://www.groupe-alizeo.com/products.htm;;;;;;;;главная страница
24;Alizeo;Alizeo 1000/60;1000;60;Pitch;No;No;15;Available;50;3,5;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18Гц;;;0,69;50Гц;;;;;;Франция;;;;;;http://www.groupe-alizeo.com/products.htm;;;;;;;;
25;Alizeo;Alizeo 1000/64;1000;64;Pitch;No;No;15;Available;50;3,5;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18Гц;;;0,69;50Гц;;;;;;Франция;;;;;;http://www.groupe-alizeo.com/products.htm;;;;;;;;
