1;Рудольфа, остров;81,8;58,7;9;9;8;9;9;11;11;8
2;Нагурская;80,5;47,8;11;11;11;10;10;10;11;11
3;Хейса, остров;80,6;58,1;11;11;11;11;8;9;8;11
4;Бухта Тихая;80,3;52,6;11;7;9;8;8;11;11;11
5;Мыс Желания;76,3;68,3;11;8;11;11;11;10;11;11
6;Русская Гавань;76,2;62,7;9;9;9;8;8;11;11;11
7;Благополучия, залив;75,6;64;8;11;11;11;9;10;10;10
8;Мыс Столбовой;73,1;53,8;11;11;11;9;7;8;11;11
9;Маточкин Шар;73,3;56,3;7;7;7;9;9;9;8;7
10;Мыс Выходной;73,2;56,9;10;11;11;11;11;11;9;8
11;Малые Кармакулы;72,4;52,8;10;8;8;8;9;10;10;10
12;Мыс Меньшикова;70,7;57,5;10;11;11;11;11;11;11;10
13;Болванский  Нос;70,5;59,8;11;11;11;10;10;10;10;11
14;Югорскний Шар;69,8;60,8;11;11;10;10;10;10;11;11
15;Амдерма;69,8;61,8;12;12;12;9;9;9;9;12
16;Белый Нос и Хабарово;69,5;60,4;11;10;10;10;11;11;11;11
17;Колгуев, северный;65,9;49,1;11;11;11;9;9;9;9;11
18;Усть-Кара;69,2;65;10;10;9;9;9;9;10;10
19;Ходовариха;68,9;53,8;11;11;10;10;10;9;9;11
20;Бугрино;68,8;49,3;9;9;10;10;10;9;9;11
21;Варандей;68,8;58;11;10;9;9;9;10;11;11
22;Коротаиха;68,8;61,4;7;7;7;6;5;6;7;7
23;Канин Нос;67,8;43,3;12;8;8;8;9;12;12;12
24;Мыс Шведский;68,6;56,1;10;10;9;9;9;9;10;10
25;Табседа;68,6;52,3;11;9;9;10;10;10;11;11
26;Сенгейский Шар;68,4;50,8;7;7;7;9;9;11;7;7
27;Мыс Болванский;68,3;54,5;10;10;10;9;9;9;9;10
28;Хальмер-Ю;67,9;64,8;7;7;6;7;7;6;6;7
29;Шойна;67,9;44,1;10;10;7;7;8;11;11;11
30;Мыс Микулкин;67,8;46,7;9;10;10;10;10;10;9;9
31;Индига;67,7;48,8;7;10;10;10;9;9;7;7
32;Нарьян-Мар;67,7;53;7;7;7;6;7;7;7;7
33;Нарьян-Мар, город;67,7;53,1;9;6;7;7;6;7;9;9
34;Хорей-Вер;67,4;58;7;7;7;6;6;6;7;7
35;Мьс Конушин;67,2;43,9;9;9;11;11;11;11;11;9
36;Хоседа-Хард;67,1;59,4;20;7;7;7;5;5;5;5
37;Коткино;67;51,2;20;7;7;7;7;6;6;6
38;Нижняя Пеша, Взглавье;67;47,6;9;9;7;6;7;7;7;7
39;Нижняя Пеша, село;66,8;47,8;7;7;7;7;7;6;6;7
40;Вижас;66,6;45,9;6;6;6;6;7;6;5;6
41;Несь;66,6;44,7;7;7;7;6;5;6;7;7
42;Моржовец, остров;66,7;42,5;7;7;9;9;10;10;10;10
43;Абрамовский Маяк;66,4;43,3;6;8;8;8;7;7;7;6
44;Семжа;66,2;44,1;6;7;7;7;7;9;9;9
45;Инцы;65,9;40,7;10;7;7;7;6;6;10;10
46;Мезень;65,9;44,2;7;7;7;6;6;8;8;8
47;Мезень, город;65,9;44,3;7;7;6;6;6;8;8;7
48;Мосеево;65,8;46,3;7;7;6;6;7;6;5;6
49;Зимнегорский Маяк;65,5;39,7;6;5;4;5;6;9;9;9
50;Кепино;65,4;41,9;4;4;4;4;4;5;5;4
51;Борковская;65,2;49,6;6;6;6;6;6;6;6;6
52;Жижгин, остров;65,2;36,8;9;9;9;9;9;9;9;9
53;Соловки;65;35,7;7;7;6;6;6;9;9;7
54;Лешуконское;64,9;45,8;7;7;5;5;5;6;7;7
55;Унский Маяк;64,8;38,4;9;9;9;6;5;5;5;9
56;Мудьюг, остров;64,9;40,3;6;9;9;9;9;9;9;6
57;Койнас;64,8;47,7;5;8;8;5;5;5;5;5
58;Пинега;64,7;43,4;6;5;5;6;6;7;7;7
59;Северодвинск;64,6;39,8;6;8;8;8;8;8;9;9
60;Архангельск, Соломбала;64,6;40,8;6;6;6;6;6;8;8;8
61;Архангельск, оп. п.;64,5;40,7;7;7;7;7;8;8;8;8
62;Лямца;64,4;37,1;6;6;6;8;8;8;8;8
63;Холмогоры;64,2;41,7;6;6;6;6;6;6;6;6
64;Карпогоры;64;44,5;7;6;6;6;6;7;6;7
65;Онега;63,9;38,1;6;6;7;5;6;6;6;6
66;Холмогорская;63,8;40,7;6;6;6;7;6;7;6;6
67;Сура;63,6;45,6;6;6;6;6;7;7;7;7
68;Елецк;63,5;41,8;7;7;7;7;7;7;7;7
69;Калгачиха;63,3;36,7;6;6;6;7;7;9;9;9
70;Турчасово;63,1;39,2;7;6;8;6;6;7;7;7
71;Емца;63,1;40,4;7;6;5;7;7;6;6;6
72;Окуловская;62,9;46,6;6;6;5;5;5;5;6;5
73;Двинской Березник;62,9;42,7;8;8;8;6;7;7;7;7
74;Верхняя Тойма;62,2;45;7;6;6;6;7;7;7;7
75;Яpенск;62,2;49,1;5;5;5;5;5;5;5;6
76;Конево;62,1;39,3;7;7;6;6;7;7;7;7
77;Шенкуpск;62,1;42,9;5;5;5;5;5;5;5;5
78;Слободчиково;61,8;48,3;6;6;7;8;8;7;7;7
79;Няндома;61,8;40,2;5;5;5;5;5;5;5;5
80;Няндома,ж.д.;61,7;40,2;5;5;5;5;5;5;5;5
81;Красноборск;61,6;45,9;7;6;7;7;7;7;5;5
82;Каргополь;61,5;39;6;6;6;6;6;6;7;7
83;Котлас;61,2;46,6;6;6;6;7;7;7;7;7
84;Шангалы;61,1;43,4;7;6;6;6;6;7;7;7
85;Вилегодское;61,1;47,9;6;6;6;5;5;6;6;6
86;Вельск;61,1;42,1;5;6;6;5;6;6;6;6
87;Коноша;60,9;40,3;6;6;6;6;6;6;6;6
88;Воркута;67,5;64;5;5;6;6;6;6;6;5
89;Хановей;67,3;63,7;5;6;6;5;6;6;6;6
90;Усть-Воркута;67;63,1;7;7;7;7;7;7;6;7
91;Полярный Урал;67;65,1;8;8;7;7;8;8;7;8
92;Сивая Маска;66,7;62,6;6;6;7;6;6;8;8;8
93;Адзьва-Вом;66,6;59,3;5;5;5;5;5;5;5;5
94;Роствинское;66,7;59,3;6;6;6;7;7;8;8;8
95;Петрунь;66,4;60,8;7;6;7;7;8;7;6;6
96;Окунев Нос;66,3;52,6;6;6;6;6;6;8;8;8
97;Инта;66;60,2;7;6;6;6;5;6;6;6
98;Усть-Уса;66;56,9;6;6;6;8;8;8;6;6
99;Мутный Материк;65,9;55,2;6;6;7;7;7;5;5;6
100;Кожин, рудник;65,7;59,6;6;6;6;6;6;6;6;6
101;Усть-Цильма;65,5;52,3;6;6;7;7;6;6;6;6
102;Усть-Цильма,опорная;65,4;52,3;6;6;6;8;8;8;7;6
103;Печора;65;57;5;5;6;6;6;6;7;7
104;Ижма;65;53,9;6;7;7;7;7;7;6;6
105;Левкинское;64,8;51,1;8;8;5;5;5;4;4;6
106;Ираель;64,5;55,4;5;6;6;6;6;6;5;5
107;Усть-Шугор;64,3;57,6;6;6;6;6;8;6;6;6
108;Кедва-Вом;64,2;53,6;5;6;5;5;6;5;5;5
109;Верхний Шугор;64,1;59,4;4;6;4;4;6;6;4;6
110;Дутово;63,8;56,7;6;7;8;7;7;6;6;6
111;Усть-Ухта;63,7;53,8;7;5;5;5;6;6;6;6
112;Ухта, город;63,6;53,8;6;7;8;8;8;7;7;6
113;Ухта;63,6;53,7;7;7;5;5;5;6;6;7
114;Вендинга;63,5;47,9;7;6;6;7;7;6;6;6
115;Кослан;63,5;48,9;7;7;7;6;6;7;7;7
116;Месью;63,2;52,6;7;6;6;6;6;7;7;7
117;Изваиль;63;54,5;5;6;6;6;6;6;5;5
118;Весляна;62;50,9;7;7;7;5;5;5;6;6
119;Лоптюга;62,9;49,7;5;5;4;5;5;4;4;5
120;Троицко-Печорское;62,7;56,2;6;6;6;6;7;7;6;6
121;Железнодорожный;62,6;50,8;6;6;6;7;6;6;5;6
122;Зеленец;62,5;55,3;5;5;5;6;4;4;4;4
123;Усть-Вымь;62,2;50,4;7;7;6;5;5;5;7;7
124;Лунь;62,2;52,5;6;6;6;7;7;7;7;6
125;Помоздино;62,2;54,2;7;7;6;5;6;7;7;7
126;Якша;61,8;56,9;5;6;6;7;5;7;8;8
127;Усть-Унья;61,8;57,9;7;7;5;5;5;5;6;6
128;Усть-Кулом;61,7;53,8;6;6;5;7;6;7;7;6
129;Сыктывкар;61,7;50,8;5;5;5;7;7;7;7;7
130;Усть-Нем;61,6;54,9;8;7;5;5;5;6;6;8
131;Лопыдино;61,1;52,1;5;5;5;7;7;7;7;6
132;Пустошь;61,1;50,3;7;7;7;7;7;7;7;7
133;Объячево;60,4;49,7;7;6;6;7;5;5;5;7
134;Кажим;60,4;51,6;5;5;6;7;6;6;6;5
135;Сосновец,остров;66,5;40,7;11;11;11;11;11;11;10;10
136;Гридино;65,9;34,8;9;9;9;9;6;6;6;6
137;Кемь,порт;65;34,8;5;5;8;8;8;5;7;7
138;Кемь, город;64,9;34,7;6;6;5;6;6;6;7;6
139;Жужмуй, остров;64,7;35,6;4;4;4;6;6;7;5;5
140;Раз-Наволок;64,6;34,9;5;8;8;8;8;6;5;5
141;Вытегра;61;36,5;7;7;6;5;5;5;5;6
142;Великий Устюг;60,8;46,3;6;6;7;7;7;7;7;7
143;Анненский Мост;60,7;37,1;6;6;7;7;7;7;7;6
144;Чарозеро;60,5;38,6;7;7;7;6;6;6;7;7
145;Вожега;60,5;40,2;6;6;5;5;5;5;5;6
146;Жар;60,5;40,2;7;7;7;6;7;7;7;7
147;Белозерск;60;37,8;9;9;6;7;7;6;7;9
148;Тотьма;60;42,8;7;7;7;5;5;5;7;7
149;Борисово-Судское,село;60;36;7;6;5;5;6;6;7;7
150;Борисово-Судское;59,9;36;6;7;6;6;7;7;7;7
151;Кириллов;59,9;38,4;5;6;5;6;6;6;6;6
152;Коробово;59,6;39,3;9;9;9;7;6;6;6;6
153;Никольск;59,5;45,5;5;5;5;6;7;5;4;4
154;Бабаево;59,4;35,9;5;5;5;6;6;6;4;4
155;Вологда, Прилуки;59,3;39,9;7;7;6;7;7;6;7;7
156;Череповец;59,1;37,9;8;8;6;7;7;7;6;6
157;Устюжна;58,9;36,4;6;6;6;7;7;7;6;6
158;Вайда-Губа, ГМС;69,9;32;7;8;8;8;9;7;7;7
159;Цып-Наволок;69,7;33,1;6;10;10;10;5;7;6;6
161;Печенга-Никель;69,4;30,2;6;5;5;5;5;5;5;5
162;Ура-Губа;69,3;32,8;6;6;6;11;5;6;6;11
165;Дальне-Зеленецкая;69,1;36,1;11;8;8;8;8;5;5;11
166;Мурманск, Xалдеев мыс;69,1;32,4;5;5;5;5;5;8;8;8
167;Мурманск, город;69;33,1;5;11;11;11;5;8;8;8
168;Янискоски;68,9;28,8;8;6;6;6;5;5;5;10
169;Кола;68,9;33;9;5;5;5;11;5;5;5
170;Харлов, остров;68,8;37,4;10;10;10;5;5;5;5;10
172;Падун;68,6;31,8;12;12;6;7;7;7;7;7
173;Воронинский погост;68,5;35,3;8;11;7;11;7;13;7;7
174;Ниванкюль;68,4;30,7;11;8;11;5;5;8;11;11
175;Пулозеро;68,4;33,3;9;6;6;12;5;5;9;9
177;Ловозеро;68;35;6;6;6;9;12;6;6;6
178;Колмъявр;67,9;36,9;5;5;5;5;5;8;8;5
179;Мончегорск;68;32,9;11;12;12;11;8;11;11;11
180;Апатитовая Гора;67,7;33,6;11;11;11;11;11;6;11;11
181;Хибины, оп.станция;67,7;33,3;4;11;11;5;8;8;8;8
182;Юкспор;67,7;33,8;6;6;7;6;6;6;6;6
183;Кировск;67,6;33,5;11;11;11;11;11;11;5;11
184;Ена;67,6;31,2;6;8;8;13;6;6;12;13
185;Ковдор;67,6;30,4;11;11;11;6;11;11;11;6
187;Апатиты;67,5;33,4;6;6;6;6;9;9;6;6
188;Зашеек;67,4;32,6;9;9;7;7;7;6;6;6
189;Краснощелье;67,4;37,1;6;6;12;6;6;6;6;6
190;Терско-Орловский, маяк;67,2;41,4;10;10;10;10;6;6;6;10
191;Кандалакша;67,1;32,4;5;12;12;5;8;8;8;6
192;Каневка;67,1;39,7;6;6;4;4;4;4;12;12
193;Канозеро;67,1;34,2;5;5;12;6;6;8;8;6
194;Ковда;66,7;32,9;8;8;5;5;5;13;13;6
197;Умба;66,7;34,3;5;5;5;5;8;8;5;5
198;Кашкаранцы;66,3;36,1;7;7;6;9;9;9;6;6
200;Пялица;66,2;39,5;7;7;6;8;8;6;6;7
201;Чаваньга;66,1;37,8;7;7;7;9;9;9;6;7
202;Черная  Речка;66,4;32,8;6;6;5;5;5;5;5;6
203;Оланга;66,2;30,6;5;6;6;6;5;5;5;5
204;Лоухи;66,1;32,9;6;6;6;5;5;6;6;5
205;Гридино;65,9;34,8;9;9;9;9;6;6;6;6
206;Кестеньга;65,9;31,8;4;4;4;4;4;4;4;4
207;Пильдозеро;65,7;35,2;6;6;5;5;7;7;6;6
208;Поньгома;65,3;35,4;5;6;6;6;6;6;6;5
209;Ухта;63,6;53,8;5;5;5;6;5;6;5;5
210;Кемь, порт;65;34,8;5;5;8;8;8;5;7;7
211;Панозеро;65;32,8;4;4;5;5;5;5;4;4
212;Кемь, город;65;34,8;6;6;5;6;6;6;7;6
213;Юшкозеро;64,7;32,1;6;6;5;5;5;5;5;6
214;Жужмуй, остров;64,7;35,6;4;4;4;6;6;7;5;5
215;Раз-Наволок;64,6;34,9;5;8;8;8;8;6;5;5
216;Колежма;64,2;35,9;7;7;7;6;6;6;7;7
217;Ругозеро;64,1;32,8;6;6;6;6;6;5;6;5
218;Воренжа;63,9;35,3;5;5;5;5;5;4;5;5
219;Реболы;63,8;30,8;5;6;6;6;5;6;6;5
220;Сегежа;63,7;34,3;4;4;4;5;5;5;5;5
221;Паданы;63,3;33,4;5;4;4;4;4;5;5;5
222;Данилово;62,9;35,8;6;5;5;5;6;6;6;6
223;Медвежьегорск;62,9;34,4;4;4;4;4;4;4;4;4
224;Кудам-Губа;62,6;35;7;6;6;6;6;6;7;7
225;Совдозеро;62,7;33,6;5;5;5;5;5;5;5;5
226;Шуньга;62,8;33;6;5;5;5;6;5;6;5
227;Куганаволок;62,2;36,9;5;5;5;5;5;6;6;5
228;Вертсиля;62,2;30,7;5;5;5;5;5;5;5;5
229;Кондопога;62,2;34,3;7;5;5;6;6;5;7;7
230;Суоярни;62,1;32,4;5;5;5;5;5;5;5;5
231;Клименицы;61,9;35,2;5;5;9;9;9;9;9;5
232;Петрозаводск, Сулаж-Гора;61,8;34,4;5;5;5;5;5;5;5;5
233;Петрозаводск, озеро;61,8;34,5;6;9;9;9;9;6;5;5
234;Василисин;61,8;35,7;9;5;5;9;9;9;9;9
235;Теребовская;61,8;36,1;7;6;6;6;5;7;7;5
236;Пудож;61,8;36,6;7;6;6;6;6;6;7;7
237;Колодозеро;61,8;37,8;5;5;4;4;6;5;4;4
238;Сортавала;61,7;30,7;4;4;5;4;5;4;4;4
239;Пряжа;61,7;33,6;5;5;5;5;5;5;5;5
240;Палалахта;61,6;32,4;7;6;6;6;6;6;6;7
241;Ладва;61,4;34,7;6;6;6;7;7;7;7;6
242;Мантсинсаари;61,3;31,6;7;7;7;6;6;6;7;7
243;Видлица;61,2;32,4;6;6;7;7;7;6;6;6
244;Олонец;60,9;32,9;6;6;6;7;7;7;6;6
245;Токари;61;34,2;4;6;4;4;6;4;4;5
246;Лесогорский;61;28,9;7;8;7;6;7;7;7;7
247;Приозерск;61;30,1;5;5;6;5;6;5;5;12
248;Вознесенье;61;35,5;5;5;8;6;6;6;6;6
249;Выборг;60,7;28,7;5;5;5;5;6;8;8;6
250;Лодейное Поле;60,7;33,6;6;6;7;7;7;7;6;6
251;Винницы;60,6;34,8;6;7;7;6;6;6;6;5
252;Сосново;60,6;30,3;7;6;5;6;7;5;7;5
253;Свирица;60,5;32,9;7;7;6;6;7;8;6;8
254;Сухо, маяк;60,4;32,1;9;9;9;9;9;9;12;9
255;Приморск;60,4;28,6;5;5;6;7;7;7;8;6
256;Рощино;60,3;29,6;5;4;4;4;5;5;5;4
257;Озерки;60,2;29;5;6;5;5;5;9;9;9
258;Токсово;60,2;30,6;5;4;4;5;4;5;5;5
259;Осиновец;60,1;31,1;9;9;9;9;5;5;5;5
260;Сестрорецк;60,2;29,9;5;5;5;5;9;9;9;9
261;Кареджи, маяк;60,1;31,4;9;9;9;9;9;9;9;5
262;Новая Ладога;60,1;32,3;9;7;7;6;7;6;7;7
263;Гогланд;60,1;27;9;9;9;9;5;5;5;5
264;Мошньй;60;27,8;9;9;9;9;9;6;6;9
265;Лисий Нос;60;29,9;5;5;5;9;9;9;9;6
266;Кронштадт;60;29,8;5;5;5;5;5;5;5;5
268;Лебяжье;60;29,3;9;9;9;6;5;5;5;9
269;Ленинград, ГМО;60;30,3;5;5;12;12;5;5;12;5
270;Воейково;59,9;30,7;5;5;5;5;4;5;6;5
271;Шугозеро;59,9;34,2;5;5;5;5;6;6;5;6
272;Петрокрепость;59,9;31,1;7;9;9;7;6;7;8;7
273;Волхов;59,9;32,3;6;6;6;6;6;5;6;5
274;Ломоносов;59,9;29,8;9;9;6;7;6;6;9;9
275;Невская;59,9;30,3;7;5;7;5;6;7;9;7
276;Ново-Саратовская;59,8;30,7;7;7;7;5;6;5;7;6
277;Старое  Гарколово;59,8;28,7;7;9;9;6;7;6;6;7
278;Пушкин;59,7;30,4;5;4;4;4;4;4;4;5
279;Усть-Луга;59,6;28,3;9;9;7;7;7;7;7;9
